accession,bp,cc,mf,pdb_status,status
Q04826,1,1,0,True,True
P30479,1,1,0,True,True
P30480,1,1,0,True,True
P30481,1,1,0,True,True
P30483,1,1,0,False,False
P30484,1,1,0,True,True
P30485,1,1,0,False,False
P30486,1,1,0,False,False
P30487,1,1,0,False,False
P30488,1,1,0,False,False
P18464,1,1,1,True,False
P30490,1,1,0,True,True
P30491,1,1,0,True,True
P30492,1,1,0,False,False
P30493,1,1,0,False,False
P30495,1,1,0,False,False
P18465,1,1,0,True,True
P10319,1,1,0,True,True
Q29940,1,1,0,False,False
Q29836,1,1,0,False,False
Q31612,1,1,0,False,False
P30498,1,1,0,False,False
Q31610,1,1,0,True,True
Q29718,1,1,0,False,False
P30499,1,1,1,False,False
P30501,1,1,1,False,False
P04222,1,1,1,True,True
P30504,1,1,1,True,True
Q9TNN7,1,1,0,True,True
Q29963,1,1,0,True,True
P10321,1,1,0,True,True
P30505,1,1,0,True,True
P30508,1,1,0,False,False
P30510,1,1,0,False,False
Q07000,1,1,0,False,False
Q29960,1,1,0,False,False
Q95604,1,1,0,False,False
Q29865,1,1,0,False,False
P22282,1,1,0,False,False
O18178,1,1,1,False,False
Q15172,1,1,1,False,False
Q6PD03,1,1,0,False,False
Q15173,1,1,1,False,False
Q14738,1,1,1,False,False
P38903,1,1,1,False,False
Q8RW96,1,0,1,False,False
Q13362,1,1,1,True,True
Q38845,1,1,0,False,False
Q09543,1,1,1,False,False
Q54QR9,1,1,0,False,False
P36179,1,1,0,False,False
P30153,1,1,1,True,True
Q76MZ3,1,1,1,True,True
Q9UT08,1,1,0,False,False
P31383,1,1,0,False,False
Q38950,1,1,0,False,False
P30154,1,1,0,False,False
G5EDR3,1,0,0,False,False
P36872,1,1,1,False,False
P63151,1,1,1,True,True
Q6P1F6,1,0,0,False,False
Q12702,1,1,0,False,False
Q00362,1,1,1,False,False
P36877,1,1,1,False,False
P56932,1,1,1,False,False
Q7ZX64,1,1,1,False,False
Q10428,1,1,0,False,False
P78759,1,1,0,False,False
P04229,1,1,1,True,True
P01912,1,1,1,True,True
P13760,1,1,1,True,True
P13761,1,1,1,False,False
Q30134,1,1,0,False,False
Q9TQE0,1,1,0,False,False
Q30167,1,1,0,False,False
P20039,1,1,1,True,True
Q95IE3,1,1,0,False,False
Q5Y7A7,1,1,0,False,False
Q9GIY3,1,1,0,False,False
P01911,1,1,1,True,True
Q29974,1,1,0,False,False
O04529,1,1,1,False,False
P84782,1,0,1,False,False
Q9FH31,1,0,0,False,False
P86783,1,0,0,False,False
Q7NXD4,1,0,1,True,True
P14060,1,1,0,False,False
P22071,1,1,1,False,False
P26439,1,1,1,False,False
Q61767,1,1,0,False,False
Q62878,1,0,1,False,False
Q61694,1,1,0,False,False
P27364,1,1,1,False,False
Q9H2F3,1,1,0,False,False
Q9EQC1,1,0,1,False,False
O35048,1,1,1,False,False
P9WQP7,1,1,1,False,False
P78314,1,0,1,True,True
Q9V785,1,1,0,False,False
O60239,1,1,1,True,True
Q9Z131,1,0,1,False,False
Q84SM8,1,0,1,False,False
F1CKI6,1,0,1,False,False
F1CKI8,1,0,1,False,False
F1CKI9,1,0,1,False,False
P85078,1,0,0,False,False
Q59087,1,0,1,False,False
P05147,1,0,1,False,False
P46952,1,1,1,True,True
P46953,1,1,1,False,False
P47096,1,1,1,True,True
Q46ZL2,1,0,1,False,False
Q8NLB6,1,0,1,False,False
P31937,1,1,1,True,True
Q9I0N5,1,0,1,True,True
P04395,1,1,1,True,True
P29372,1,1,1,True,True
Q04841,1,0,1,False,False
A0S864,1,1,1,True,True
A0S865,1,1,1,True,True
P86096,1,1,1,False,False
P86098,1,1,1,False,False
P86099,1,1,1,False,False
P71864,1,1,1,False,False
Q7D5C1,1,0,1,False,False
Q06401,1,1,0,False,False
A0R4S9,1,0,1,False,False
Q04616,1,0,1,False,False
P86095,1,1,1,False,False
P86097,1,1,1,False,False
P01446,1,1,0,False,False
B3EWF8,1,1,1,False,False
P86094,1,1,1,False,False
D5MP61,1,0,1,True,True
Q9LCB9,1,0,1,False,False
Q8RS40,1,0,1,True,True
P11171,1,1,1,True,True
P48193,1,1,0,False,False
Q33DV3,1,1,1,False,False
Q42524,1,1,1,True,True
Q9S725,1,0,1,False,False
Q9S777,1,0,1,False,False
Q9LU36,1,0,1,False,False
Q9LQ12,1,1,1,False,False
Q84P21,1,1,0,False,False
Q84P24,1,1,1,False,False
Q9M0X9,1,1,1,False,False
Q84P23,1,1,1,False,False
Q9SMT7,1,1,1,True,True
Q98TT6,1,0,0,False,False
Q13541,1,1,1,True,True
Q60876,1,0,1,False,False
Q62622,1,1,1,False,False
Q13542,1,0,0,True,True
P70445,1,0,1,False,False
Q9EST3,1,1,1,False,False
P08195,1,1,1,True,True
Q7YQK3,1,1,0,False,False
Q794F9,1,1,1,False,False
Q2YLF3,1,0,0,False,False
A1BBM5,1,0,1,False,False
Q1PE49,1,1,0,False,False
P70994,1,0,1,True,True
P76491,1,0,1,True,True
Q8L539,1,0,1,False,False
P0AC28,1,0,1,False,False
Q9ZR27,1,0,1,False,False
B2NID7,1,0,1,False,False
P08908,1,1,1,False,False
Q64264,1,0,1,False,False
P19327,1,1,1,False,False
Q98998,1,0,0,False,False
P28222,1,1,1,True,True
P28334,1,1,1,False,False
P28564,1,1,1,False,False
P28221,1,1,1,False,False
Q61224,1,0,1,False,False
P28566,1,1,1,False,False
P30939,1,1,1,False,False
P20905,1,0,1,False,False
O46635,1,1,1,False,False
P28285,1,0,1,False,False
P28223,1,1,1,True,True
P35363,1,0,0,False,False
P14842,1,1,1,True,True
P28286,1,0,1,False,False
P41595,1,1,1,True,True
Q02152,1,1,1,False,False
P30994,1,1,0,False,False
Q8UUG8,1,1,0,False,False
P28335,1,1,1,True,True
P34968,1,0,1,False,False
P08909,1,1,1,True,True
O70212,1,1,1,False,False
P46098,1,1,1,False,False
P35563,1,1,1,False,False
O95264,1,1,1,False,False
Q9JJ16,1,1,0,False,False
Q8WXA8,1,1,1,False,False
Q70Z44,1,1,1,False,False
A5X5Y0,1,1,1,False,False
Q13639,1,1,1,True,True
Q62758,1,0,1,False,False
P47898,1,1,1,False,False
P30966,1,0,0,False,False
P35364,1,1,1,False,False
P35365,1,1,1,False,False
P50406,1,1,1,False,False
Q9R1C8,1,1,0,False,False
P31388,1,1,1,False,False
P34969,1,1,1,False,False
P32305,1,1,1,False,False
Q6TXD2,1,0,1,False,False
Q9LJB4,1,0,1,False,False
Q6J163,1,1,0,False,False
Q9BXI3,1,0,0,False,False
A3KFX0,1,0,0,False,False
Q96P26,1,1,0,False,False
Q91YE9,1,1,1,False,False
Q9H0P0,1,1,1,True,True
Q9W197,1,1,1,True,True
Q969T7,1,1,1,False,False
Q54XC1,1,1,0,False,False
P49902,1,1,1,True,True
P21589,1,1,1,True,True
Q61503,1,1,1,False,False
P21588,1,1,1,False,False
P27091,1,1,0,False,False
Q76FP5,1,0,1,False,False
Q9FWA3,1,1,1,False,False
P86491,1,0,1,False,False
Q88FY2,1,0,1,True,True
Q6WUC1,1,0,1,False,False
P40433,1,1,1,False,False
Q12471,1,1,0,False,False
Q9SH69,1,1,1,False,False
Q9LI00,1,0,0,False,False
P38720,1,0,1,True,True
Q9FFR3,1,1,1,False,False
Q2R480,1,0,0,False,False
Q94KU2,1,1,1,False,False
P53319,1,1,1,False,False
Q8TA03,1,0,0,False,False
P41572,1,0,0,False,False
P00350,1,1,1,True,True
P52209,1,1,0,True,True
Q9DCD0,1,0,0,False,False
P85968,1,1,1,False,False
P78812,1,1,1,False,False
P00349,1,0,1,True,True
Q84WW2,1,1,1,False,False
O95336,1,1,1,False,False
P85971,1,0,1,False,False
P12961,1,0,1,False,False
Q4WYG3,1,0,1,False,False
Q6WUC2,1,0,1,False,False
P16375,1,1,1,False,False
P16376,1,1,1,False,False
B3RFJ6,1,0,1,False,False
P36639,1,1,1,True,True
P53368,1,0,1,True,True
P53369,1,1,0,False,False
Q19124,1,1,0,False,False
Q676U5,1,1,1,True,True
Q8C0J2,1,1,0,False,False
Q09406,1,1,0,False,False
Q6KAU8,1,0,0,False,False
P02763,1,1,0,True,True
P19652,1,1,0,True,True
P02764,1,1,1,False,False
P07758,1,1,0,False,False
P22599,1,1,1,False,False
Q00896,1,1,0,False,False
Q00897,1,1,0,False,False
Q00898,1,0,0,False,False
P01009,1,1,1,True,True
P17475,1,1,1,False,False
P04217,1,1,0,False,False
Q9NQ94,1,1,1,True,True
Q5YD48,1,1,1,False,False
Q923K9,1,1,1,False,False
P20995,1,0,0,True,True
Q1W695,1,0,1,False,False
O46197,1,1,0,False,False
P08697,1,1,1,False,False
Q61247,1,0,0,True,True
O46203,1,1,0,False,False
O46227,1,1,0,False,False
Q9V3R1,1,1,0,False,False
P68619,1,0,0,False,False
A0A4Z3,1,1,1,False,False
Q9NPC4,1,1,1,False,False
Q67BJ4,1,0,1,False,False
Q9UNA3,1,1,1,False,False
Q10651,1,1,0,True,True
P14599,1,1,0,False,False
P05067,1,1,1,True,True
P12023,1,1,1,True,True
P08592,1,1,1,True,True
O46199,1,1,0,False,False
O46202,1,1,1,False,False
O46200,1,1,0,False,False
O46341,1,0,0,False,False
P05623,1,1,1,True,True
Q9VVW1,1,1,0,False,False
P9WQP3,1,1,1,True,True
P9WQP1,1,1,1,True,True
P9WQN9,1,1,1,True,True
P16548,1,1,0,False,False
O46201,1,1,0,False,False
P30542,1,1,0,True,True
Q60612,1,1,0,False,False
P25099,1,1,1,False,False
P29274,1,1,1,True,True
Q60613,1,1,1,False,False
P30543,1,1,1,False,False
P29275,1,1,0,False,False
Q60614,1,1,1,False,False
P29276,1,1,1,False,False
Q8JG70,1,1,1,False,False
Q8JG69,1,1,1,False,False
Q61618,1,1,1,False,False
P28647,1,1,1,False,False
E3W9M2,1,1,1,False,False
E3W9M3,1,1,1,False,False
Q9NS82,1,1,1,False,False
P63115,1,0,1,False,False
P21133,1,0,1,False,False
P22760,1,1,1,False,False
Q99PG0,1,1,1,False,False
Q5SF95,1,1,1,False,False
Q5SF94,1,1,1,False,False
Q5SF96,1,1,1,False,False
Q5SF93,1,1,1,False,False
Q9NRG9,1,1,0,False,False
P58742,1,0,0,False,False
Q15758,1,1,1,True,True
P9WQG9,1,1,1,True,True
Q54441,1,0,1,False,False
Q43899,1,0,1,True,True
Q44245,1,0,1,False,False
Q44057,1,0,1,True,True
P10051,1,0,0,False,False
P50858,1,0,0,False,False
P19650,1,0,0,False,False
Q15BH7,1,0,0,False,False
Q9R381,1,0,1,True,True
P20092,1,0,1,False,False
Q9RBW7,1,0,1,False,False
Q86V21,1,1,1,False,False
Q9JMI1,1,1,1,False,False
P01011,1,1,1,True,True
Q8N5Z0,1,1,1,True,True
Q64602,1,1,1,False,False
Q9C8D4,1,0,1,False,False
Q8H151,1,1,1,False,False
Q8W471,1,1,1,False,False
Q9SS01,1,1,1,False,False
P46482,1,0,0,False,False
P46481,1,1,0,False,False
Q11T61,1,0,1,True,True
P67662,1,0,0,False,False
O49434,1,1,1,False,False
Q655X8,1,0,1,False,False
Q2M2I8,1,0,1,True,True
F1SPM8,1,1,0,False,False
P0C1X8,1,1,1,False,False
Q9Y478,1,1,1,True,True
Q9R078,1,1,1,False,False
P80386,1,1,1,True,True
O43741,1,1,0,True,True
Q6PAM0,1,1,1,False,False
Q9QZH4,1,1,1,True,True
P54619,1,1,1,True,True
O54950,1,1,1,False,False
P80385,1,1,1,True,True
Q9UGJ0,1,1,1,False,False
Q91WG5,1,1,1,False,False
Q9UGI9,1,1,1,False,False
Q8BGM7,1,1,0,False,False
P12904,1,1,1,True,True
Q8R0P4,1,1,0,False,False
Q988D4,1,0,1,True,True
Q3SZK1,1,0,0,False,False
Q13685,1,1,1,False,False
K9NBS6,1,0,1,False,False
Q42400,1,1,1,False,False
P37898,1,0,0,False,False
Q38967,1,1,0,False,False
Q39134,1,0,0,False,False
Q9FN04,1,0,1,False,False
Q8GUM3,1,0,1,False,False
P92934,1,1,1,False,False
P45894,1,0,0,False,False
Q13131,1,1,1,True,True
Q5EG47,1,1,1,True,True
P54645,1,1,1,True,True
Q95ZQ4,1,1,1,False,False
P54646,1,1,1,True,True
Q8BRK8,1,1,1,False,False
Q09137,1,1,1,False,False
P22702,1,0,0,True,True
P08521,1,1,1,False,False
P32357,1,1,0,True,True
Q54I71,1,1,1,False,False
Q91ZF7,1,0,0,False,False
Q84LM4,1,1,1,False,False
Q3THG9,1,0,1,False,False
Q9UDR5,1,1,1,True,True
Q99K67,1,1,1,False,False
P31119,1,1,1,False,False
P46643,1,1,1,False,False
P46645,1,1,1,False,False
P46644,1,1,0,False,False
P00504,1,0,0,True,True
P17174,1,1,1,True,True
P05201,1,1,1,False,False
P13221,1,1,1,False,False
P23542,1,1,0,True,True
Q9VM95,1,1,0,False,False
Q9NY61,1,1,1,True,True
Q9JKX4,1,1,0,False,False
Q9QYW0,1,1,1,False,False
P00508,1,1,1,True,True
P00505,1,1,1,True,True
P05202,1,1,0,True,True
P12345,1,0,0,False,False
P00507,1,1,1,False,False
Q01802,1,0,0,False,False
Q9LP11,1,1,0,False,False
F4IQG2,1,0,0,False,False
Q9LJJ7,1,1,0,False,False
F4J0C0,1,0,0,False,False
Q9LJJ5,1,0,0,False,False
Q147F9,1,0,0,False,False
P00509,1,1,1,True,True
P9WQ91,1,1,0,False,False
Q8RXN0,1,1,1,False,False
Q9C8K2,1,0,0,False,False
Q9C8J8,1,1,0,False,False
Q08641,1,1,1,False,False
Q9C6W5,1,1,0,False,False
Q8RWI9,1,0,0,False,False
Q9M2V7,1,0,0,False,False
Q9M3D6,1,1,0,False,False
O80946,1,1,0,False,False
Q8R5A3,1,1,0,True,True
Q9LFG8,1,0,0,False,False
Q9XF19,1,0,0,False,False
Q93YS4,1,1,0,False,False
Q9FUT3,1,1,0,False,False
Q9LVM1,1,1,0,False,False
Q84TH5,1,1,1,False,False
Q9LK50,1,1,0,False,False
Q0WML0,1,1,0,False,False
P81925,1,0,0,False,False
Q9ZUT0,1,0,0,False,False
Q8H0V6,1,1,0,False,False
Q9LV93,1,0,0,False,False
Q8H8V7,1,1,0,False,False
Q9FNB5,1,0,0,False,False
Q9CAF5,1,1,1,False,False
Q9LQK7,1,1,0,False,False
Q9ZS97,1,1,1,False,False
Q9FLT5,1,1,1,False,False
Q9C826,1,1,1,False,False
Q8LFP9,1,1,0,False,False
E9RD40,1,0,0,False,False
P20945,1,0,1,False,False
O81077,1,0,1,False,False
Q9FH76,1,0,1,False,False
Q9LRH7,1,0,1,False,False
B7U179,1,1,0,False,False
Q9SBB2,1,0,0,False,False
P31941,1,1,1,True,True
Q9UH17,1,1,1,True,True
Q9NRW3,1,1,1,True,True
Q96AK3,1,1,0,False,False
Q8IUX4,1,1,1,True,True
Q7YR25,1,0,0,False,False
Q9HC16,1,1,1,True,True
Q7YR23,1,1,0,False,False
Q7YR24,1,0,0,False,False
Q6NTF7,1,1,1,True,True
Q19Q52,1,1,1,False,False
Q8T6J0,1,0,0,False,False
Q54DT1,1,0,0,False,False
Q54R52,1,0,0,False,False
Q54BU4,1,0,0,False,False
Q54W24,1,1,0,False,False
Q8T9W2,1,0,0,False,False
Q9NP58,1,1,1,True,True
Q55DA7,1,0,0,False,False
O75027,1,1,1,False,False
Q61102,1,1,0,False,False
Q9NUT2,1,1,1,True,True
Q9NP78,1,1,1,False,False
P33897,1,1,1,False,False
P48410,1,1,0,False,False
Q8T8P3,1,0,0,False,False
Q9UBJ2,1,1,1,False,False
Q61285,1,1,0,False,False
P28288,1,1,1,False,False
P16970,1,1,1,False,False
O14678,1,1,0,False,False
P61221,1,1,1,False,False
Q8NE71,1,1,1,True,True
Q8T6B7,1,0,0,False,False
Q9UG63,1,1,1,False,False
P45844,1,1,1,False,False
Q64343,1,1,0,False,False
Q9UNQ0,1,1,1,True,True
Q80W57,1,1,1,False,False
Q9H172,1,0,1,False,False
Q9H222,1,1,1,True,True
Q99PE8,1,1,0,False,False
Q99PE7,1,1,1,False,False
Q8T686,1,0,0,False,False
Q9H221,1,1,1,True,True
Q9DBM0,1,1,0,False,False
P58428,1,1,1,False,False
Q55DA0,1,0,0,False,False
Q8T664,1,0,0,False,False
Q92338,1,1,0,False,False
Q8N2K0,1,1,1,False,False
Q99LR1,1,1,1,False,False
P29555,1,1,1,False,False
P09087,1,1,1,True,True
P77674,1,1,1,True,True
P41238,1,1,1,False,False
P51908,1,0,1,False,False
P38483,1,0,1,False,False
Q9Y235,1,0,1,True,True
Q9WV35,1,0,0,True,True
Q99J72,1,1,0,False,False
P14164,1,1,1,False,False
G5EC68,1,0,0,True,True
Q02486,1,1,1,True,True
Q8NK90,1,1,1,False,False
A2Q7E0,1,0,0,False,False
Q8NK89,1,1,1,True,True
A2R511,1,1,0,False,False
Q2UIM2,1,1,1,False,False
O74288,1,0,1,False,False
Q5BDV3,1,0,1,False,False
P77357,1,1,1,False,False
P76052,1,1,1,False,False
P46133,1,1,1,False,False
Q24093,1,0,1,False,False
P08910,1,1,1,False,False
Q9QXM0,1,1,0,False,False
Q8WU67,1,1,1,False,False
Q91ZH7,1,0,0,False,False
Q8TB40,1,1,1,False,False
Q8WTS1,1,1,1,False,False
Q9DBL9,1,1,0,True,True
Q6QA69,1,0,0,False,False
Q9BV23,1,1,1,False,False
Q8R2Y0,1,1,1,False,False
Q9NUJ1,1,1,1,False,False
Q96IU4,1,1,1,True,True
O95870,1,0,1,False,False
Q9Z1Q2,1,0,1,False,False
Q8IZP0,1,1,1,False,False
Q8CBW3,1,1,1,False,False
Q9NYB9,1,1,1,True,True
P62484,1,1,0,False,False
Q01593,1,1,1,False,False
Q9P2A4,1,1,0,False,False
A0MES8,1,0,1,False,False
Q9SJN0,1,1,0,False,False
Q55FT9,1,1,0,False,False
Q6NMC6,1,1,0,False,False
Q54P00,1,0,0,False,False
O14639,1,1,1,False,False
Q8K4G5,1,1,1,False,False
Q8BL65,1,1,0,False,False
O94929,1,1,0,True,True
Q69ZX8,1,0,0,False,False
P47146,1,0,0,False,False
A2QT85,1,1,1,False,False
Q5AZC8,1,0,1,False,False
Q5AUM3,1,0,1,False,False
P33487,1,0,0,False,False
P49777,1,1,1,True,True
P15891,1,1,1,True,True
P84994,1,1,0,False,False
B2FKA7,1,1,1,False,False
Q9FGF8,1,0,0,False,False
Q4WZB4,1,0,0,False,False
E9RBR0,1,0,1,False,False
P11140,1,0,1,True,True
Q8BUZ1,1,1,1,False,False
P08874,1,0,0,True,True
P75747,1,1,0,False,False
Q24174,1,0,0,False,False
Q12979,1,1,1,False,False
Q5SSL4,1,1,1,False,False
Q9ULW3,1,1,1,False,False
Q9QYL7,1,1,0,False,False
P41662,1,1,0,False,False
P39970,1,1,1,False,False
P40535,1,1,1,False,False
Q9UKU7,1,1,1,True,True
Q9H845,1,1,0,False,False
P28330,1,1,1,False,False
P51174,1,1,1,False,False
P15650,1,1,1,False,False
P11310,1,1,1,True,True
P45952,1,1,1,False,False
P08503,1,1,1,False,False
P16219,1,1,1,True,True
P15651,1,1,1,True,True
P49748,1,1,1,True,True
P50544,1,1,0,False,False
P45953,1,1,1,False,False
O65902,1,1,0,False,False
Q5FVC7,1,1,0,False,False
Q9VIP7,1,0,0,False,False
O00400,1,1,1,False,False
Q5T8D3,1,1,0,True,True
Q96GR2,1,1,1,False,False
Q99PU5,1,0,0,False,False
Q924N5,1,1,0,False,False
Q5FVE4,1,1,1,False,False
Q2XU92,1,1,1,False,False
Q9SM23,1,1,1,False,False
O01805,1,0,0,False,False
Q9STP8,1,1,1,False,False
Q20507,1,0,0,False,False
Q9MA55,1,1,1,False,False
Q8RWD9,1,1,1,False,False
P57752,1,1,1,False,False
Q5FXM5,1,1,1,False,False
P07108,1,1,1,True,True
P31786,1,1,0,False,False
P11030,1,1,1,False,False
P31787,1,1,1,True,True
P0ABD5,1,1,0,True,True
P24182,1,1,1,True,True
P0A9Q5,1,1,1,True,True
P9WQH9,1,1,0,False,False
Q9ZUN4,1,0,0,False,False
Q76NT9,1,0,0,False,False
Q41931,1,1,1,True,True
O65378,1,0,1,False,False
Q06588,1,0,0,False,False
Q0WPW4,1,0,0,False,False
O64587,1,0,1,True,True
Q709F0,1,1,1,True,True
Q8LPS2,1,1,0,False,False
P9WQG3,1,1,1,False,False
Q52060,1,0,1,True,True
P45954,1,1,1,True,True
P70584,1,1,1,False,False
Q96AP0,1,1,1,True,True
Q5EE38,1,1,1,False,False
P38433,1,1,1,False,False
Q6FJQ9,1,0,0,False,False
Q9BYF1,1,1,1,True,True
Q96WN6,1,1,1,False,False
Q8R0I0,1,1,0,False,False
Q5EGZ1,1,1,1,False,False
P21192,1,1,1,False,False
O07718,1,0,1,False,False
P28297,1,1,1,False,False
P28298,1,1,0,True,True
D4GTL3,1,0,1,False,False
O50078,1,0,1,False,False
P9WKK7,1,1,1,True,True
Q9I0K4,1,0,1,True,True
P28240,1,1,1,False,False
D4GTL2,1,0,1,True,True
Q12031,1,1,1,False,False
P11071,1,1,1,False,False
Q8TDN7,1,1,1,False,False
Q8R4X1,1,1,1,False,False
Q5QJU3,1,1,1,False,False
Q9NUN7,1,1,1,True,True
Q9VLJ6,1,1,1,False,False
P36196,1,0,0,False,False
Q9DDE3,1,0,1,False,False
P07140,1,1,1,True,True
P22303,1,1,1,True,True
P21836,1,1,1,True,True
P37136,1,1,1,False,False
Q10714,1,1,1,True,True
P9WIZ9,1,1,0,False,False
Q9GZZ6,1,1,1,False,False
Q9JLB5,1,1,1,False,False
P48180,1,1,1,False,False
P09478,1,1,0,False,False
P32316,1,1,1,False,False
P48181,1,1,0,False,False
P17644,1,1,0,False,False
P54244,1,0,0,False,False
P04755,1,1,0,False,False
P25162,1,0,0,False,False
Q23022,1,1,0,False,False
Q9N587,1,1,1,False,False
Q27218,1,1,0,False,False
Q9U298,1,1,1,False,False
Q15822,1,1,1,True,True
P12389,1,1,1,False,False
P32297,1,1,1,True,True
Q8R4G9,1,1,1,False,False
P04757,1,1,1,True,True
P43681,1,1,1,True,True
O70174,1,1,1,False,False
P09483,1,1,1,True,True
P30532,1,1,1,False,False
Q2MKA5,1,1,0,False,False
Q15825,1,1,1,False,False
Q9R0W9,1,1,1,False,False
P43143,1,1,1,False,False
P36544,1,1,1,True,True
P49582,1,1,1,False,False
Q05941,1,1,1,False,False
Q9UGM1,1,1,1,True,True
P43144,1,1,1,False,False
Q98880,1,1,1,False,False
P02708,1,1,1,True,True
P04756,1,1,0,True,True
P25108,1,1,1,False,False
P17787,1,1,1,True,True
Q9ERK7,1,1,1,False,False
P12390,1,1,1,True,True
Q05901,1,1,1,False,False
P12391,1,1,1,False,False
P30926,1,1,1,True,True
Q8R493,1,0,0,False,False
P12392,1,1,1,True,True
P11230,1,1,1,False,False
P09690,1,1,1,False,False
P25109,1,1,1,False,False
Q07001,1,1,1,False,False
P02716,1,1,1,False,False
P25110,1,1,1,True,True
Q04844,1,1,1,True,True
P20782,1,1,0,False,False
P09660,1,1,1,False,False
P07510,1,1,1,False,False
P04760,1,1,1,False,False
P18916,1,1,1,False,False
P84761,1,0,1,False,False
Q07622,1,0,0,False,False
P71104,1,0,0,False,False
P0A6A3,1,1,1,True,True
Q9QUI6,1,0,0,False,False
O00590,1,1,1,False,False
O08707,1,0,1,False,False
P25106,1,1,1,False,False
Q9NPB9,1,1,1,False,False
Q03771,1,0,0,False,False
Q9S7X6,1,1,1,False,False
O96019,1,1,1,False,False
Q9Z2N8,1,1,1,False,False
O94805,1,1,1,False,False
Q99MR0,1,1,0,False,False
P86173,1,1,0,False,False
O22718,1,0,0,False,False
O80526,1,1,0,False,False
Q9C522,1,1,0,False,False
Q9FGX1,1,1,1,False,False
Q18007,1,1,1,False,False
P16395,1,1,1,False,False
P11229,1,1,1,True,True
P12657,1,0,0,False,False
P04761,1,0,0,False,False
P08482,1,1,1,False,False
Q08981,1,1,1,True,True
Q09388,1,0,1,False,False
P08172,1,1,1,True,True
P10980,1,1,1,False,False
Q9U7D5,1,1,0,False,False
P20309,1,1,1,True,True
Q9ERZ3,1,1,1,False,False
P08483,1,1,1,True,True
P08173,1,1,1,True,True
P32211,1,1,1,False,False
P08912,1,1,1,False,False
Q920H4,1,0,1,False,False
P08911,1,0,1,False,False
Q8TDX5,1,1,1,True,True
Q8R5M5,1,0,1,False,False
Q8I948,1,1,0,False,False
Q8I6R7,1,1,0,False,False
P09339,1,0,1,False,False
Q8NQ98,1,0,1,False,False
Q937N8,1,0,1,False,False
P25516,1,1,1,False,False
O53166,1,1,1,False,False
Q8ZP52,1,0,1,False,False
Q5SMF6,1,0,1,False,False
P36683,1,1,1,True,True
Q8ZRS8,1,0,1,False,False
Q8EJW3,1,0,1,False,False
Q8NQ97,1,0,1,True,True
A2AKK5,1,1,1,False,False
Q32MW3,1,1,1,False,False
Q8ISS3,1,0,1,False,False
Q8WXI4,1,1,1,True,True
Q8VHQ9,1,0,1,False,False
Q6US81,1,0,1,False,False
Q8WYK0,1,0,0,True,True
Q9DBK0,1,1,1,False,False
Q99NB7,1,1,1,False,False
Q9NPJ3,1,1,1,True,True
Q8N1Q8,1,1,1,True,True
Q9CQJ0,1,1,0,False,False
Q42560,1,1,1,False,False
P21147,1,1,1,False,False
Q9SIB9,1,1,1,False,False
Q94A28,1,1,1,False,False
Q23500,1,1,1,False,False
P21399,1,1,1,True,True
P28271,1,1,0,False,False
Q63270,1,1,1,False,False
P13516,1,1,1,True,True
